MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.random.RandomDataImpl.nextWeibull	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextT	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextPascal	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextHypergeometric	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextGamma	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextF	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextChiSquare	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextCauchy	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextBinomial	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextBeta	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextUniform	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextUniform	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextExponential	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextGaussian	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextPoisson	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextSecureLong	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextSecureInt	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextSecureHexString	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextLong	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextInt	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.nextHexString	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.getDelegate	0	1	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.<init>	0	3	0.0	0	0	0.0
org.apache.commons.math3.random.RandomDataImpl.<init>	3	3	1.0	0	0	0.0
org.apache.commons.math3.random.RandomDataGenerator.getNatural	0	4	0.0	0	2	0.0
